round,doc,subtask,q,prompt_tokens,ttft_s,cached,matched,ssd_read_ios,ssd_read_b,write_ios,write_b
1,0,coursera,0,1971,1.4334,0,0,0,0,16,335544320
1,1,financial_qa,0,1963,3.8133,16,0,0,0,30,629145600
1,2,legal_contract_qa,0,1964,1.3703,16,0,0,0,30,629145600
1,3,meeting_summ,0,1938,3.0392,16,0,0,0,30,629145600
1,4,multidoc_qa,0,1952,1.3453,16,0,0,0,30,629145600
1,5,narrative_qa,0,1935,2.9538,16,0,0,0,30,629145600
1,6,natural_question,0,1940,1.3639,16,0,0,0,30,629145600
1,7,paper_assistant,0,1934,2.0539,16,0,0,0,30,629145600
1,8,quality,0,1988,1.4108,16,0,0,0,30,629145600
1,9,review_summ,0,1940,2.9739,16,0,0,0,31,650117120
1,10,sci_fi,0,1961,3.0772,16,0,0,0,30,629145600
1,11,scientific_qa,0,1934,3.1973,16,0,0,0,30,629145600
1,12,topic_retrieval_longchat,0,1945,3.0411,16,0,0,0,30,629145600
1,13,tpo,0,1994,3.4401,16,0,0,0,30,629145600
1,14,coursera,0,1986,3.6678,16,0,0,0,31,650117120
1,15,financial_qa,0,1969,3.7284,16,0,0,0,31,650117120
1,16,legal_contract_qa,0,1961,3.7929,16,0,0,0,30,629145600
1,17,meeting_summ,0,1939,3.904,16,0,0,0,30,629145600
1,18,multidoc_qa,0,1936,4.055,16,0,0,0,30,629145600
1,19,narrative_qa,0,1939,4.0447,16,0,0,0,30,629145600
1,20,natural_question,0,1939,3.9125,16,0,0,0,30,629145600
1,21,paper_assistant,0,1934,3.6849,16,0,0,0,30,629145600
1,22,quality,0,2032,4.134,16,0,0,0,30,629145600
1,23,review_summ,0,1942,4.243,16,0,0,0,31,650117120
1,24,sci_fi,0,1968,3.985,16,0,0,0,30,629145600
1,25,scientific_qa,0,1933,3.0824,16,0,0,0,30,629145600
1,26,topic_retrieval_longchat,0,1945,3.9143,16,0,0,0,30,629145600
1,27,tpo,0,1980,4.1288,16,0,0,0,30,629145600
2,9,review_summ,1,1945,4.2071,1920,1904,30,623902720,14,293601280
2,25,scientific_qa,1,1935,0.1041,1920,0,0,0,0,0
2,20,natural_question,1,1934,0.0525,1920,0,0,0,0,0
2,1,financial_qa,1,1966,1.1899,1920,1904,30,623902720,0,0
2,10,sci_fi,1,1966,1.11,1920,1904,30,623902720,0,0
2,6,natural_question,1,1936,1.0952,1920,1904,30,623902720,0,0
2,5,narrative_qa,1,1937,1.1023,1920,1904,30,623902720,0,0
2,12,topic_retrieval_longchat,1,1945,1.1766,1920,1888,30,618659840,0,0
2,3,meeting_summ,1,1937,0.694,1920,1904,30,623902720,0,0
2,27,tpo,1,1990,0.6165,1920,1520,24,498073600,1,20971520
2,4,multidoc_qa,1,1953,1.019,1920,1904,30,623902720,0,0
2,16,legal_contract_qa,1,1981,1.1804,1920,1904,30,623902720,0,0
2,13,tpo,1,2008,0.8771,1920,1904,30,623902720,1,20971520
2,21,paper_assistant,1,2032,0.8314,1920,1904,30,623902720,1,20971520
2,7,paper_assistant,1,2032,0.6993,1920,1904,30,623902720,1,20971520
2,15,financial_qa,1,1983,0.7859,1920,1904,30,623902720,0,0
2,14,coursera,1,1984,0.6485,1920,1904,30,623902720,1,20971520
2,22,quality,1,2032,1.0958,1920,1904,30,623902720,1,20971520
2,24,sci_fi,1,1969,0.8836,1920,1904,30,623902720,0,0
2,17,meeting_summ,1,1934,0.6865,1920,1904,30,623902720,0,0
2,2,legal_contract_qa,1,1976,0.7805,1920,1904,30,623902720,0,0
2,18,multidoc_qa,1,1952,0.9821,1920,1904,30,623902720,0,0
2,0,coursera,1,1974,1.131,1920,1904,30,623902720,0,0
2,11,scientific_qa,2,1944,0.9206,1920,1904,30,623902720,0,0
2,23,review_summ,1,1941,1.1446,1920,1904,30,623902720,0,0
2,19,narrative_qa,1,1939,1.1522,1920,1904,30,623902720,0,0
2,8,quality,1,1952,0.6871,1920,1904,30,623902720,0,0
2,26,topic_retrieval_longchat,1,1945,0.5767,1920,1904,30,623902720,0,0
