round,doc,subtask,q,prompt_tokens,ttft_s,cached,matched,ssd_read_ios,ssd_read_b,write_ios,write_b,out_tokens,backlog
1,0,coursera,0,1971,1.6138,0,0,0,0,0,0,16,1
1,1,financial_qa,0,1963,3.0644,16,0,0,0,0,0,66,1
1,2,legal_contract_qa,0,1964,1.7891,16,0,0,0,0,0,24,1
1,3,meeting_summ,0,1938,3.1759,16,0,0,0,0,0,70,1
1,4,multidoc_qa,0,1952,2.0714,16,0,0,0,0,0,34,1
1,5,narrative_qa,0,1935,1.5306,16,0,0,0,0,0,16,1
1,6,natural_question,0,1940,1.5469,16,0,0,0,0,0,16,1
1,7,paper_assistant,0,1934,4.503,16,0,0,0,0,0,114,1
1,8,quality,0,1988,1.58,16,0,0,0,0,0,16,1
1,9,review_summ,0,1940,4.3408,16,0,0,0,0,0,108,1
1,10,sci_fi,0,1961,1.5481,16,0,0,0,0,0,16,1
1,11,scientific_qa,0,1934,1.5305,16,0,0,0,0,0,16,1
1,12,topic_retrieval_longchat,0,1945,1.5604,16,0,0,0,0,0,16,1
1,13,tpo,0,1994,1.6047,16,0,0,0,0,0,16,1
1,14,coursera,0,1986,1.6193,16,0,0,0,0,0,16,1
1,15,financial_qa,0,1969,3.4991,16,0,0,0,0,0,79,1
1,16,legal_contract_qa,0,1961,1.7883,16,0,0,0,0,0,24,1
1,17,meeting_summ,0,1939,2.5706,16,0,0,0,0,0,50,1
1,18,multidoc_qa,0,1936,1.923,16,0,0,0,0,0,29,1
1,19,narrative_qa,0,1939,1.5584,16,0,0,0,0,0,16,1
1,20,natural_question,0,1939,1.5659,16,0,0,0,0,0,16,1
1,21,paper_assistant,0,1934,4.494,16,0,0,0,0,0,114,1
1,22,quality,0,2032,1.6209,16,0,0,0,0,0,16,1
1,23,review_summ,0,1942,4.2617,16,0,0,0,0,0,106,1
1,24,sci_fi,0,1968,1.5477,16,0,0,0,0,0,16,1
1,25,scientific_qa,0,1933,1.7094,16,0,0,0,0,0,22,1
1,26,topic_retrieval_longchat,0,1945,1.5568,16,0,0,0,0,0,16,1
1,27,tpo,0,1980,1.5851,16,0,0,0,0,0,16,1
1,28,coursera,0,1980,1.5861,16,0,0,0,0,0,16,1
1,29,financial_qa,0,1974,2.5525,16,0,0,0,0,0,48,1
1,30,legal_contract_qa,0,1961,1.5461,16,0,0,0,0,0,16,1
1,31,meeting_summ,0,1933,2.6592,16,0,0,0,0,0,54,1
1,32,multidoc_qa,0,1938,1.5645,16,0,0,0,0,0,16,1
1,33,narrative_qa,0,1942,1.5591,16,0,0,0,0,0,16,1
1,34,natural_question,0,1940,1.5494,16,0,0,0,0,0,16,1
1,35,paper_assistant,0,1934,4.5136,16,0,0,0,0,0,114,1
1,36,quality,0,2001,1.6159,16,0,0,0,0,0,16,1
1,37,review_summ,0,1943,4.2507,16,0,0,0,0,0,105,1
1,38,sci_fi,0,1954,1.5481,16,0,0,0,0,0,16,1
1,39,scientific_qa,0,1931,2.0884,16,0,0,0,0,0,35,1
1,40,topic_retrieval_longchat,0,1945,1.5511,16,0,0,0,0,0,16,1
1,41,tpo,0,1980,1.5842,16,0,0,0,0,0,16,1
1,42,coursera,0,1964,1.5853,16,0,0,0,0,0,16,1
1,43,financial_qa,0,1970,2.2658,16,0,0,0,0,0,38,1
1,44,legal_contract_qa,0,1964,2.9927,16,0,0,0,0,0,63,1
1,45,meeting_summ,0,1942,3.2162,16,0,0,0,0,0,71,1
1,46,multidoc_qa,0,1935,1.5032,16,0,0,0,0,0,16,1
1,47,narrative_qa,0,1932,1.5206,16,0,0,0,0,0,16,1
1,48,natural_question,0,1941,1.5646,16,0,0,0,0,0,16,1
1,49,paper_assistant,0,1934,4.4924,16,0,0,0,0,0,114,1
1,50,quality,0,2032,1.6511,16,0,0,0,0,0,16,1
1,51,review_summ,0,1942,4.2958,16,0,0,0,0,0,106,1
1,52,sci_fi,0,1956,1.5481,16,0,0,0,0,0,16,1
1,53,scientific_qa,0,1935,1.5244,16,0,0,0,0,0,16,1
1,54,topic_retrieval_longchat,0,1945,1.5635,16,0,0,0,0,0,16,1
1,55,tpo,0,2009,1.618,16,0,0,0,0,0,16,1
1,56,coursera,0,2011,1.6379,16,0,0,0,0,0,16,1
1,57,financial_qa,0,1971,3.4533,16,0,0,0,0,0,77,1
