rid,round,doc,subtask,q,prompt_tokens,submit_rel_s,ttft_s,e2e_s,out_tokens,cached,backlog
r0,1,0,coursera,0,1971,0.53,3.2714,9.0786,16,0,7
r5,1,5,narrative_qa,0,1935,3.804,3.207,6.0095,16,16,7
r6,1,6,natural_question,0,1940,7.011,1.2444,3.0291,16,16,7
r2,1,2,legal_contract_qa,0,1964,1.644,2.1855,8.7612,24,16,7
r4,1,4,multidoc_qa,0,1952,3.803,3.2075,7.2808,34,16,7
r1,1,1,financial_qa,0,1963,1.644,2.186,15.8345,66,16,3
r3,1,3,meeting_summ,0,1938,3.803,3.2081,13.935,70,16,3
r8,1,8,quality,0,1988,19.349,3.7234,6.9587,16,16,4
r10,1,10,sci_fi,0,1961,24.179,1.1943,2.3147,16,16,4
r7,1,7,paper_assistant,0,1934,11.785,4.8231,15.6516,114,16,4
r11,1,11,scientific_qa,0,1934,27.829,3.8323,12.0912,16,16,8
r12,1,12,topic_retrieval_longchat,0,1945,30.606,2.1595,9.4391,16,16,8
r13,1,13,tpo,0,1994,31.663,2.2658,8.4842,16,16,8
r14,1,14,coursera,0,1986,33.931,3.384,6.4203,16,16,8
r16,1,16,legal_contract_qa,0,1961,33.934,3.3808,23.3488,24,16,9
r19,1,19,narrative_qa,0,1939,44.445,4.3093,31.5048,16,16,3
r20,1,20,natural_question,0,1939,44.446,4.3083,31.5039,16,16,3
r9,1,9,review_summ,0,1940,21.953,2.224,66.4514,108,16,5
r17,1,17,meeting_summ,0,1939,37.317,1.2968,51.0873,50,16,5
r26,1,26,topic_retrieval_longchat,0,1945,57.285,23.0242,31.1192,16,16,5
r22,1,22,quality,0,2032,45.546,4.4734,52.6832,16,16,2
r25,1,25,scientific_qa,0,1933,54.96,25.3494,44.5139,22,16,3
r18,1,18,multidoc_qa,0,1936,40.431,5.1132,63.9088,29,16,3
r24,1,24,sci_fi,0,1968,54.959,2.3238,69.0857,16,16,4
r27,1,27,tpo,0,1980,60.226,20.0835,64.8252,16,16,4
r28,1,28,coursera,0,1980,60.226,20.0829,65.0697,16,16,4
r32,1,32,multidoc_qa,0,1938,75.953,48.0924,50.3271,16,16,4
r33,1,33,narrative_qa,0,1942,75.953,48.0919,50.3267,16,16,4
