rid,round,doc,subtask,q,prompt_tokens,submit_rel_s,ttft_s,e2e_s,out_tokens,cached,backlog
r0,1,0,coursera,0,1971,0.008,4.3526,5.4769,16,0,0
r2,1,2,legal_contract_qa,0,1964,0.009,4.3515,7.105,24,16,0
r5,1,5,narrative_qa,0,1935,7.116,1.1485,2.2997,16,16,0
r4,1,4,multidoc_qa,0,1952,5.486,1.1681,5.7115,34,16,0
r6,1,6,natural_question,0,1940,9.417,1.1645,3.3217,16,16,0
r1,1,1,financial_qa,0,1963,0.008,4.352,14.4081,66,16,0
r3,1,3,meeting_summ,0,1938,0.009,4.351,15.7306,70,16,0
r8,1,8,quality,0,1988,12.741,1.2101,4.417,16,16,0
r10,1,10,sci_fi,0,1961,15.741,1.1876,3.3379,16,16,0
r11,1,11,scientific_qa,0,1934,17.16,1.1553,6.5637,16,16,0
r12,1,12,topic_retrieval_longchat,0,1945,19.081,4.4157,8.1056,16,16,0
r13,1,13,tpo,0,1994,23.725,2.6886,6.1231,16,16,0
r14,1,14,coursera,0,1986,27.189,2.4268,6.2854,16,16,0
r16,1,16,legal_contract_qa,0,1961,33.476,2.3769,4.1821,24,16,0
r7,1,7,paper_assistant,0,1934,11.199,1.154,31.5515,114,16,0
r9,1,9,review_summ,0,1940,14.419,1.1685,30.0411,108,16,0
r15,1,15,financial_qa,0,1969,29.85,2.8439,16.7174,79,16,0
r19,1,19,narrative_qa,0,1939,44.462,1.1724,3.3515,16,16,0
r18,1,18,multidoc_qa,0,1936,42.753,1.1596,11.5715,29,16,0
r17,1,17,meeting_summ,0,1939,37.66,3.6704,16.7254,50,16,0
r20,1,20,natural_question,0,1939,46.569,1.1695,10.6388,16,16,0
r22,1,22,quality,0,2032,54.326,1.2299,4.4579,16,16,0
r24,1,24,sci_fi,0,1968,57.21,1.1866,6.242,16,16,0
r25,1,25,scientific_qa,0,1933,58.786,4.055,9.7236,22,16,0
r26,1,26,topic_retrieval_longchat,0,1945,63.454,4.2114,7.9785,16,16,0
r27,1,27,tpo,0,1980,68.511,2.7693,6.6431,16,16,0
r28,1,28,coursera,0,1980,71.434,2.8628,6.4426,16,16,0
r30,1,30,legal_contract_qa,0,1961,77.878,3.2156,4.3903,16,16,0
r29,1,29,financial_qa,0,1974,75.156,2.5674,13.2949,48,16,0
r23,1,23,review_summ,0,1942,54.386,2.2806,35.2408,106,16,0
r21,1,21,paper_assistant,0,1934,47.814,6.359,43.0594,114,16,0
r32,1,32,multidoc_qa,0,1938,88.453,1.1744,4.3568,16,16,0
r33,1,33,narrative_qa,0,1942,89.628,1.1711,5.2342,16,16,0
r34,1,34,natural_question,0,1940,90.875,1.1717,10.2895,16,16,0
r31,1,31,meeting_summ,0,1933,82.27,4.13,20.3917,54,16,0
r36,1,36,quality,0,2001,94.864,6.2229,9.5223,16,16,0
r38,1,38,sci_fi,0,1954,102.664,1.1845,7.4706,16,16,0
r40,1,40,topic_retrieval_longchat,0,1945,110.135,1.3697,2.5192,16,16,0
r39,1,39,scientific_qa,0,1931,104.389,5.289,13.5769,35,16,0
r41,1,41,tpo,0,1980,112.657,4.6116,6.8055,16,16,0
r42,1,42,coursera,0,1964,117.967,1.1834,4.5652,16,16,0
r43,1,43,financial_qa,0,1970,119.464,2.3674,8.6411,38,16,0
r37,1,37,review_summ,0,1943,101.166,1.2659,28.8247,105,16,0
r35,1,35,paper_assistant,0,1934,92.811,2.0507,38.4963,114,16,0
