tag,runner,design,block,i,chat_id,turn,prompt_tokens,ttft_s,cpu_s,matched_tokens,cached_tokens,ssd_read_ios,ssd_read_bytes,store_ios,store_bytes
v2-D-b64,v2,D,64,0,0,1,1008,0.3567,0.37,0,0,0,0,15,314572800
v2-D-b64,v2,D,64,1,1,1,2032,1.2699,17.3024,0,16,0,0,16,335544320
v2-D-b64,v2,D,64,2,2,1,2032,1.3858,17.5126,0,16,0,0,31,650117120
v2-D-b64,v2,D,64,3,3,1,2032,1.3652,17.2445,0,112,0,0,31,650117120
v2-D-b64,v2,D,64,4,4,1,2032,1.1351,14.643,0,0,0,0,30,629145600
v2-D-b64,v2,D,64,5,5,1,368,0.0669,0.0714,0,112,0,0,0,0
v2-D-b64,v2,D,64,6,6,1,160,0.0519,0.0878,0,16,0,0,0,0
v2-D-b64,v2,D,64,7,7,1,1792,1.0693,13.7004,0,16,0,0,37,775946240
v2-D-b64,v2,D,64,8,8,1,2032,1.3426,17.3216,0,112,0,0,28,587202560
v2-D-b64,v2,D,64,9,9,1,1872,1.2019,14.7716,0,112,0,0,30,629145600
v2-D-b64,v2,D,64,10,10,1,2032,1.1346,15.036,0,16,0,0,28,587202560
v2-D-b64,v2,D,64,11,11,1,1056,0.623,4.813,0,112,0,0,30,629145600
v2-D-b64,v2,D,64,12,12,1,2032,1.0779,15.6775,0,288,0,0,16,335544320
v2-D-b64,v2,D,64,13,13,1,48,0.0295,0.0534,0,16,0,0,0,0
v2-D-b64,v2,D,64,14,14,1,48,0.0301,0.0693,0,0,0,0,0,0
v2-D-b64,v2,D,64,15,15,1,176,0.0423,0.0893,0,0,0,0,1,20971520
v2-D-b64,v2,D,64,16,16,1,2032,0.2525,0.3173,0,2016,0,0,12,251658240
v2-D-b64,v2,D,64,17,17,1,208,0.0498,0.0716,0,16,0,0,3,62914560
v2-D-b64,v2,D,64,18,18,1,2032,1.135,16.9392,0,112,0,0,16,335544320
v2-D-b64,v2,D,64,19,19,1,288,0.0653,0.117,0,16,0,0,0,0
v2-D-b64,v2,D,64,20,20,1,448,0.3166,0.7443,0,112,0,0,24,503316480
v2-D-b64,v2,D,64,21,21,1,1184,0.4738,6.2096,0,112,0,0,16,335544320
v2-D-b64,v2,D,64,22,22,1,2032,1.2665,17.3535,0,112,0,0,17,356515840
v2-D-b64,v2,D,64,23,23,1,2032,1.1443,15.0059,0,16,0,0,30,629145600
v2-D-b64,v2,D,64,24,24,1,2032,1.9994,18.1357,0,112,0,0,31,650117120
v2-D-b64,v2,D,64,25,25,1,48,0.0272,0.0419,0,16,0,0,0,0
v2-D-b64,v2,D,64,26,26,1,2032,1.5187,2.52,1696,1984,27,555745280,14,293601280
v2-D-b64,v2,D,64,27,27,1,1920,1.0255,15.8754,0,16,0,0,16,335544320
v2-D-b64,v2,D,64,28,28,1,960,0.558,4.2429,0,112,0,0,28,587202560
v2-D-b64,v2,D,64,29,29,1,2032,1.2354,17.4579,0,112,0,0,16,335544320
v2-D-b64,v2,D,64,30,30,1,2032,0.0583,0.1035,0,2016,0,0,1,20971520
v2-D-b64,v2,D,64,31,31,1,928,0.5373,3.5468,0,112,0,0,26,545259520
v2-D-b64,v2,D,64,32,32,1,2032,1.1388,14.1879,0,16,0,0,16,335544320
v2-D-b64,v2,D,64,33,33,1,64,0.0299,0.0341,0,0,0,0,0,0
v2-D-b64,v2,D,64,34,34,1,2032,1.9902,17.4921,0,112,0,0,32,671088640
v2-D-b64,v2,D,64,35,35,1,2032,1.1445,5.4278,0,0,0,0,30,629145600
v2-D-b64,v2,D,64,36,36,1,1616,0.764,0.3465,0,16,0,0,14,293601280
v2-D-b64,v2,D,64,37,37,1,2032,1.2365,1.6853,1696,1984,27,555745280,26,545259520
v2-D-b64,v2,D,64,38,38,1,496,0.1161,0.5993,0,16,0,0,7,146800640
v2-D-b64,v2,D,64,39,39,1,48,0.2267,0.099,0,16,0,0,0,0
v2-D-b64,v2,D,64,40,40,2,2032,0.5518,1.6403,1712,1728,27,560988160,4,83886080
v2-D-b64,v2,D,64,41,41,1,2032,1.1461,17.5358,0,0,0,0,16,335544320
v2-D-b64,v2,D,64,42,42,1,816,0.2488,0.1055,0,112,0,0,0,0
v2-D-b64,v2,D,64,43,43,1,2032,1.1463,4.3083,0,16,0,0,42,880803840
v2-D-b64,v2,D,64,44,44,1,2032,1.6386,2.3858,1696,1984,27,555745280,15,314572800
v2-D-b64,v2,D,64,45,45,1,2032,1.124,17.4271,0,112,0,0,16,335544320
v2-D-b64,v2,D,64,46,46,1,128,0.0383,0.0501,0,0,0,0,0,0
v2-D-b64,v2,D,64,47,47,1,896,1.1622,4.0044,0,112,0,0,29,608174080
v2-D-b64,v2,D,64,48,48,1,1760,1.2028,13.3545,0,112,0,0,16,335544320
v2-D-b64,v2,D,64,49,49,1,2032,0.0588,0.0615,0,2016,0,0,0,0
v2-D-b64,v2,D,64,50,50,1,2032,1.1502,9.8216,0,16,0,0,26,545259520
v2-D-b64,v2,D,64,51,51,1,2032,0.0585,0.06,0,2016,0,0,0,0
v2-D-b64,v2,D,64,52,52,1,2032,1.9756,18.2877,0,80,0,0,31,650117120
v2-D-b64,v2,D,64,53,53,1,240,0.9221,0.8971,0,112,0,0,16,335544320
v2-D-b64,v2,D,64,54,54,1,2032,0.0639,0.0677,0,2016,0,0,0,0
v2-D-b64,v2,D,64,55,55,1,2032,1.1517,17.8318,0,16,0,0,16,335544320
v2-D-b64,v2,D,64,56,56,1,336,0.9147,0.7333,0,112,0,0,19,398458880
v2-D-b64,v2,D,64,57,57,1,2032,1.1509,17.6203,0,32,0,0,16,335544320
v2-D-b64,v2,D,64,58,58,1,160,0.0446,0.0472,0,0,0,0,0,0
v2-D-b64,v2,D,64,59,59,1,2032,0.0565,0.0767,0,2016,0,0,0,0
