round,doc,subtask,q,prompt_tokens,ttft_s,cached,matched,ssd_read_ios,ssd_read_b,write_ios,write_b,out_tokens,backlog
1,0,coursera,0,1971,1.6149,0,0,0,0,0,0,16,0
1,1,financial_qa,0,1963,3.043,16,0,0,0,0,0,66,0
1,2,legal_contract_qa,0,1964,1.7878,16,0,0,0,0,0,24,0
1,3,meeting_summ,0,1938,3.1216,16,0,0,0,0,0,70,0
1,4,multidoc_qa,0,1952,2.0656,16,0,0,0,0,0,34,0
1,5,narrative_qa,0,1935,1.4987,16,0,0,0,0,0,16,0
1,6,natural_question,0,1940,1.5247,16,0,0,0,0,0,16,0
1,7,paper_assistant,0,1934,4.4439,16,0,0,0,0,0,114,0
1,8,quality,0,1988,1.5805,16,0,0,0,0,0,16,0
1,9,review_summ,0,1940,4.2864,16,0,0,0,0,0,108,0
1,10,sci_fi,0,1961,1.5492,16,0,0,0,0,0,16,0
1,11,scientific_qa,0,1934,1.5026,16,0,0,0,0,0,16,0
1,12,topic_retrieval_longchat,0,1945,1.5187,16,0,0,0,0,0,16,0
1,13,tpo,0,1994,1.5737,16,0,0,0,0,0,16,0
1,14,coursera,0,1986,2.0711,16,0,0,0,0,0,16,0
1,15,financial_qa,0,1969,3.4761,16,0,0,0,0,0,79,0
1,16,legal_contract_qa,0,1961,1.7892,16,0,0,0,0,0,24,0
1,17,meeting_summ,0,1939,2.5496,16,0,0,0,0,0,50,0
1,18,multidoc_qa,0,1936,2.8347,16,0,0,0,0,0,29,0
1,19,narrative_qa,0,1939,1.5311,16,0,0,0,0,0,16,0
1,20,natural_question,0,1939,1.5483,16,0,0,0,0,0,16,0
1,21,paper_assistant,0,1934,4.4797,16,0,0,0,0,0,114,0
1,22,quality,0,2032,2.8978,16,0,0,0,0,0,16,0
1,23,review_summ,0,1942,4.2858,16,0,0,0,0,0,106,0
1,24,sci_fi,0,1968,1.7341,16,0,0,0,0,0,16,0
1,25,scientific_qa,0,1933,1.6927,16,0,0,0,0,0,22,0
1,26,topic_retrieval_longchat,0,1945,1.5388,32,16,0,0,0,0,16,0
1,27,tpo,0,1980,3.9057,16,0,0,0,0,0,16,0
1,28,coursera,0,1980,1.8607,16,0,0,0,0,0,16,0
1,29,financial_qa,0,1974,2.5411,16,0,0,0,0,0,48,0
1,30,legal_contract_qa,0,1961,1.5689,16,0,0,0,0,0,16,0
1,31,meeting_summ,0,1933,6.3099,16,0,0,0,0,0,54,0
1,32,multidoc_qa,0,1938,2.0719,16,0,0,0,0,0,16,0
1,33,narrative_qa,0,1942,1.5356,16,0,0,0,0,0,16,0
1,34,natural_question,0,1940,1.5369,16,0,0,0,0,0,16,0
1,35,paper_assistant,0,1934,4.499,16,0,0,0,0,0,114,0
1,36,quality,0,2001,1.9105,16,0,0,0,0,0,16,0
1,37,review_summ,0,1943,4.2413,16,0,0,0,0,0,105,0
1,38,sci_fi,0,1954,1.5592,16,0,0,0,0,0,16,0
1,39,scientific_qa,0,1931,3.1987,16,0,0,0,0,0,35,0
1,40,topic_retrieval_longchat,0,1945,2.0749,32,16,1,5242880,0,0,16,0
1,41,tpo,0,1980,1.5889,16,0,0,0,0,0,16,0
1,42,coursera,0,1964,1.5691,16,0,0,0,0,0,16,0
1,43,financial_qa,0,1970,2.245,16,0,0,0,0,0,38,0
1,44,legal_contract_qa,0,1964,5.7261,16,0,0,0,0,0,63,0
1,45,meeting_summ,0,1942,3.5727,16,0,0,0,0,0,71,0
1,46,multidoc_qa,0,1935,1.511,16,0,0,0,0,0,16,0
1,47,narrative_qa,0,1932,1.5238,16,0,0,0,0,0,16,0
1,48,natural_question,0,1941,2.0155,16,0,0,0,0,0,16,0
1,49,paper_assistant,0,1934,4.4808,16,0,0,0,0,0,114,0
1,50,quality,0,2032,2.2835,16,0,0,0,0,0,16,0
1,51,review_summ,0,1942,4.2943,16,0,0,0,0,0,106,0
1,52,sci_fi,0,1956,1.5638,16,0,0,0,0,0,16,0
1,53,scientific_qa,0,1935,1.5247,16,0,0,0,0,0,16,0
1,54,topic_retrieval_longchat,0,1945,3.453,32,16,1,5242880,0,0,16,0
1,55,tpo,0,2009,1.6245,16,0,0,0,0,0,16,0
1,56,coursera,0,2011,3.3577,16,0,0,0,0,0,16,0
1,57,financial_qa,0,1971,3.4444,16,0,0,0,0,0,77,0
1,58,legal_contract_qa,0,1961,1.9557,16,0,0,0,0,0,20,0
1,59,meeting_summ,0,1942,3.8465,16,0,0,0,0,0,92,0
1,60,multidoc_qa,0,1935,2.1519,16,0,0,0,0,0,30,0
1,61,narrative_qa,0,1937,1.5546,16,0,0,0,0,0,16,0
1,62,natural_question,0,1934,2.8658,16,0,0,0,0,0,16,0
1,63,paper_assistant,0,1934,4.4809,16,0,0,0,0,0,114,0
2,14,coursera,1,1984,5.1914,1920,1904,119,623902720,0,0,16,0
2,8,quality,1,1952,4.4673,1920,1904,119,623902720,0,0,16,0
2,3,meeting_summ,1,1937,4.7291,1920,1904,119,623902720,0,0,55,0
2,48,natural_question,1,1941,2.8372,1920,1904,119,623902720,0,0,16,0
2,18,multidoc_qa,1,1952,1.5885,1920,1904,119,623902720,0,0,33,0
2,26,topic_retrieval_longchat,1,1945,1.0702,1920,1904,119,623902720,0,0,16,0
2,41,tpo,1,1987,1.1576,1920,1904,119,623902720,0,0,16,0
2,63,paper_assistant,1,2032,0.6264,1920,0,0,0,0,0,16,0
2,56,coursera,1,2007,1.1209,1920,1904,119,623902720,0,0,16,0
2,17,meeting_summ,1,1934,1.7445,1920,1904,119,623902720,0,0,39,0
2,0,coursera,1,1974,1.116,1920,1904,119,623902720,0,0,16,0
2,16,legal_contract_qa,1,1981,2.6545,1936,1920,120,629145600,0,0,67,0
2,55,tpo,1,1989,1.1517,1920,1904,119,623902720,0,0,16,0
2,51,review_summ,1,1948,2.9739,1920,1904,119,623902720,0,0,78,0
2,11,scientific_qa,2,1944,0.983,1920,1904,119,623902720,0,0,16,0
2,31,meeting_summ,1,1932,3.073,1920,1904,119,623902720,0,0,83,0
2,27,tpo,1,1990,1.1391,1920,1904,119,623902720,0,0,16,0
2,59,meeting_summ,1,1942,2.3294,1920,1904,119,623902720,0,0,58,0
2,9,review_summ,1,1945,2.9118,1920,1904,119,623902720,0,0,82,0
2,13,tpo,1,2008,1.1493,1920,1904,119,623902720,0,0,16,0
2,50,quality,1,2032,1.1597,1920,1904,119,623902720,0,0,16,0
2,7,paper_assistant,1,2032,1.1487,1920,1904,119,623902720,0,0,16,0
2,58,legal_contract_qa,1,1976,2.4244,1936,1920,120,629145600,0,0,60,0
2,21,paper_assistant,1,2032,1.153,1920,1904,119,623902720,0,0,16,0
2,61,narrative_qa,1,1938,1.0517,1920,1904,119,623902720,0,0,16,0
2,20,natural_question,1,1934,1.0604,1920,1904,119,623902720,0,0,16,0
2,15,financial_qa,1,1983,2.5994,1936,1920,120,629145600,0,0,65,0
2,25,scientific_qa,1,1935,1.0554,1920,1904,119,623902720,0,0,16,0
2,43,financial_qa,1,1964,2.3843,1936,1920,120,629145600,0,0,59,0
2,32,multidoc_qa,1,1942,1.104,1920,1904,119,623902720,0,0,17,0
2,38,sci_fi,1,1964,1.0883,1920,1904,119,623902720,0,0,16,0
2,24,sci_fi,1,1969,1.1246,1920,1904,119,623902720,0,0,16,0
2,40,topic_retrieval_longchat,1,1945,1.0492,1920,1904,119,623902720,0,0,16,0
2,2,legal_contract_qa,1,1976,1.982,1936,1920,120,629145600,0,0,45,0
2,4,multidoc_qa,1,1953,2.0702,1920,1904,119,623902720,0,0,49,0
