rid,round,doc,subtask,q,prompt_tokens,submit_rel_s,ttft_s,e2e_s,out_tokens,cached,backlog
r0,1,0,coursera,0,1971,0.007,4.5086,5.6332,16,0,0
r2,1,2,legal_contract_qa,0,1964,0.009,4.5075,7.239,24,16,0
r5,1,5,narrative_qa,0,1935,7.25,1.2103,2.3601,16,16,0
r4,1,4,multidoc_qa,0,1952,5.643,1.2228,5.7386,34,16,0
r6,1,6,natural_question,0,1940,9.612,1.2264,3.3776,16,16,0
r1,1,1,financial_qa,0,1963,0.008,4.508,14.4966,66,16,0
r3,1,3,meeting_summ,0,1938,0.009,4.507,15.8058,70,16,0
r8,1,8,quality,0,1988,12.991,1.2791,4.4556,16,16,0
r10,1,10,sci_fi,0,1961,15.817,1.2463,3.3847,16,16,0
r11,1,11,scientific_qa,0,1934,17.449,1.2184,3.3674,16,16,0
r12,1,12,topic_retrieval_longchat,0,1945,19.203,1.2319,2.2264,16,16,0
r7,1,7,paper_assistant,0,1934,11.383,1.2195,12.9985,114,16,0
r9,1,9,review_summ,0,1940,14.507,1.2329,10.0951,108,16,0
r13,1,13,tpo,0,1994,20.818,5.6622,10.0162,16,16,0
r14,1,14,coursera,0,1986,21.432,8.315,9.4643,16,16,0
r16,1,16,legal_contract_qa,0,1961,24.603,5.1433,8.9218,24,16,0
r18,1,18,multidoc_qa,0,1936,30.898,2.2437,4.0492,29,16,0
r17,1,17,meeting_summ,0,1939,30.836,1.2059,5.059,50,16,0
r15,1,15,financial_qa,0,1969,24.382,5.3643,15.3496,79,16,0
r19,1,19,narrative_qa,0,1939,33.527,5.6632,7.9101,16,16,0
r20,1,20,natural_question,0,1939,34.949,4.2414,6.4883,16,16,0
r22,1,22,quality,0,2032,39.734,1.3141,4.508,16,16,0
r24,1,24,sci_fi,0,1968,41.439,2.2579,3.2957,16,16,0
r26,1,26,topic_retrieval_longchat,0,1945,44.736,3.8432,5.0142,16,32,0
r25,1,25,scientific_qa,0,1933,44.244,3.16,6.858,22,16,0
r27,1,27,tpo,0,1980,49.752,1.2732,3.4968,16,16,0
r28,1,28,coursera,0,1980,51.104,1.2732,2.3972,16,16,0
r21,1,21,paper_assistant,0,1934,35.896,3.2942,17.8917,114,16,0
r23,1,23,review_summ,0,1942,41.438,2.2587,12.6588,106,16,0
r30,1,30,legal_contract_qa,0,1961,53.503,7.5524,8.706,16,16,0
r32,1,32,multidoc_qa,0,1938,54.098,6.9571,8.1106,16,16,0
r29,1,29,financial_qa,0,1974,53.251,4.5582,10.3638,48,16,0
r31,1,31,meeting_summ,0,1933,53.789,7.2666,10.0675,54,16,0
r33,1,33,narrative_qa,0,1942,62.211,7.0124,10.2943,16,16,0
r34,1,34,natural_question,0,1940,62.212,7.0108,10.2927,16,16,0
r36,1,36,quality,0,2001,63.858,7.5637,8.6928,16,16,0
r35,1,35,paper_assistant,0,1934,63.616,7.8053,11.9178,114,16,0
r38,1,38,sci_fi,0,1954,72.509,7.0797,10.2278,16,16,0
r40,1,40,topic_retrieval_longchat,0,1945,75.536,6.4366,8.6244,16,32,0
r41,1,41,tpo,0,1980,82.738,1.2698,2.2277,16,16,0
r39,1,39,scientific_qa,0,1931,72.551,8.1217,12.5074,35,16,0
r37,1,37,review_summ,0,1943,72.507,7.0814,14.6637,105,16,0
r42,1,42,coursera,0,1964,84.162,4.8898,9.1887,16,16,0
r43,1,43,financial_qa,0,1970,84.968,7.3031,9.8124,38,16,0
r44,1,44,legal_contract_qa,0,1964,85.061,7.2107,10.8983,63,16,0
r45,1,45,meeting_summ,0,1942,87.173,5.0987,9.0307,71,16,0
r46,1,46,multidoc_qa,0,1935,93.353,5.8736,10.0624,16,16,0
r47,1,47,narrative_qa,0,1932,94.782,7.6441,8.756,16,16,0
r48,1,48,natural_question,0,1941,95.96,6.4663,7.5782,16,16,0
r50,1,50,quality,0,2032,103.417,1.285,4.507,16,16,0
r52,1,52,sci_fi,0,1956,103.542,3.3683,4.5056,16,16,0
r53,1,53,scientific_qa,0,1935,107.926,1.7667,2.6952,16,16,0
r55,1,55,tpo,0,2009,110.623,1.255,3.4703,16,16,0
r54,1,54,topic_retrieval_longchat,0,1945,108.049,4.9416,6.1065,16,32,0
r56,1,56,coursera,0,2011,114.096,1.2719,2.2124,16,16,0
r49,1,49,paper_assistant,0,1934,96.205,6.2214,20.868,114,16,0
r51,1,51,review_summ,0,1942,103.54,3.3699,13.8424,106,16,0
r58,1,58,legal_contract_qa,0,1961,116.31,6.9701,8.4363,20,16,0
r60,1,60,multidoc_qa,0,1935,117.384,5.8957,7.9826,30,16,0
r57,1,57,financial_qa,0,1971,114.158,5.8847,13.3412,77,16,0
r59,1,59,meeting_summ,0,1942,117.075,6.2052,10.9452,92,16,0
r61,1,61,narrative_qa,0,1937,124.748,5.6885,8.723,16,16,0
r62,1,62,natural_question,0,1934,125.369,7.3115,8.1939,16,16,0
r65,2,8,quality,1,1952,133.473,1.1789,3.1236,16,16,0
r67,2,48,natural_question,1,1941,136.599,0.3264,1.2506,16,1920,0
r66,2,3,meeting_summ,1,1937,133.565,2.2346,7.6353,55,16,0
r64,2,14,coursera,1,1984,128.022,13.1011,14.0523,16,16,0
r68,2,18,multidoc_qa,1,1952,137.851,1.1946,4.2827,33,16,0
r70,2,41,tpo,1,1987,142.076,1.2097,2.2494,16,16,0
r71,2,63,paper_assistant,1,2032,142.135,1.3096,2.2383,16,1920,0
r63,1,63,paper_assistant,0,1934,127.5,5.1806,18.3371,114,16,0
r72,2,56,coursera,1,2007,144.327,1.2271,1.7924,16,16,0
r74,2,0,coursera,1,1974,145.838,1.98,3.7473,16,16,0
r76,2,55,tpo,1,1989,149.586,0.3326,1.0373,16,1920,0
r75,2,16,legal_contract_qa,1,1981,146.121,2.8134,5.8763,67,16,0
r78,2,11,scientific_qa,2,1944,151.999,1.1472,3.0605,16,16,0
r69,2,26,topic_retrieval_longchat,1,1945,141.202,15.1945,16.1251,16,16,0
r73,2,17,meeting_summ,1,1934,144.374,9.9461,14.318,39,16,0
r77,2,51,review_summ,1,1948,150.625,0.284,8.6545,78,1920,0
r80,2,27,tpo,1,1990,157.329,1.2404,2.0905,16,16,0
r83,2,13,tpo,1,2008,159.42,1.2082,3.1045,16,16,0
r84,2,50,quality,1,2032,162.527,1.2683,2.2106,16,16,0
r81,2,59,meeting_summ,1,1942,158.693,0.3373,7.9089,58,1920,0
r79,2,31,meeting_summ,1,1932,155.061,6.8392,13.4089,83,16,0
r87,2,21,paper_assistant,1,2032,168.472,1.2223,1.9351,16,16,0
r82,2,9,review_summ,1,1945,159.281,6.7016,11.7007,82,16,0
r88,2,61,narrative_qa,1,1938,170.408,0.2456,1.9297,16,1920,0
r89,2,20,natural_question,1,1934,170.984,1.128,2.8592,16,16,0
r91,2,25,scientific_qa,1,1935,173.845,1.1302,3.1365,16,16,0
r85,2,7,paper_assistant,1,2032,164.738,11.5512,13.5221,16,16,0
r93,2,32,multidoc_qa,1,1942,178.262,1.1951,2.1952,17,16,0
r90,2,15,financial_qa,1,1983,172.339,1.1809,8.8805,65,16,0
r95,2,24,sci_fi,1,1969,181.22,1.1801,3.173,16,16,0
r86,2,58,legal_contract_qa,1,1976,166.604,11.6568,19.175,60,16,0
r94,2,38,sci_fi,1,1964,180.459,5.1961,7.1656,16,16,0
r92,2,43,financial_qa,1,1964,176.983,6.5359,11.831,59,16,0
r97,2,2,legal_contract_qa,1,1976,185.781,1.2247,3.564,45,16,0
r96,2,40,topic_retrieval_longchat,1,1945,184.394,4.515,5.3976,16,1920,0
r99,2,6,natural_question,1,1936,188.815,0.7321,1.5717,16,1920,0
r100,2,33,narrative_qa,1,1941,189.346,0.9175,1.8398,16,1920,0
r101,2,10,sci_fi,1,1966,189.794,0.9602,1.9122,16,1920,0
r98,2,4,multidoc_qa,1,1953,187.626,1.5936,4.3769,49,1920,0
r105,2,54,topic_retrieval_longchat,1,1945,192.004,1.2085,2.3362,16,32,0
r103,2,46,multidoc_qa,1,1940,191.188,0.8806,3.3983,22,1920,0
r104,2,12,topic_retrieval_longchat,1,1945,191.707,1.8642,2.9256,16,1920,0
r102,2,37,review_summ,1,1945,190.387,0.8869,6.526,72,1920,0
r106,2,19,narrative_qa,1,1939,194.342,3.7295,4.4265,16,1920,0
r107,2,45,meeting_summ,1,1934,194.588,1.8129,4.3014,67,16,0
r108,2,49,paper_assistant,1,2032,194.633,5.6508,6.1129,16,1920,0
r111,2,42,coursera,1,1997,198.892,4.0004,5.1603,16,1920,0
r112,2,28,coursera,1,2002,200.748,2.674,3.7411,16,1920,0
r109,2,29,financial_qa,1,1963,196.914,4.6537,7.67,57,1936,0
r110,2,30,legal_contract_qa,1,1976,198.77,3.51,6.8475,58,1936,0
r114,2,62,natural_question,1,1936,204.49,1.0664,1.9418,16,1920,0
r116,2,22,quality,1,2032,205.62,1.0185,2.0398,16,1920,0
r113,2,44,legal_contract_qa,1,1976,204.054,0.901,5.6159,58,1936,0
r117,2,34,natural_question,1,1937,206.433,1.0708,3.2372,16,1920,0
r118,2,53,scientific_qa,1,1935,207.661,1.2289,2.2416,16,16,0
r115,2,57,financial_qa,1,1960,204.585,1.4128,6.7099,88,1936,0
r122,2,52,sci_fi,1,1962,211.296,1.1207,1.5758,16,16,0
r119,2,5,narrative_qa,1,1937,209.672,4.5714,5.0135,16,1920,0
r120,2,36,quality,1,1997,209.673,6.4587,6.9155,16,1920,0
r124,2,47,narrative_qa,1,1940,214.686,3.7863,4.8664,16,1920,0
