round,doc,subtask,q,prompt_tokens,ttft_s,cached,matched,ssd_read_ios,ssd_read_b,write_ios,write_b,out_tokens,backlog
1,0,coursera,0,1971,1.6326,0,0,0,0,0,0,16,0
1,1,financial_qa,0,1963,3.0756,16,0,0,0,0,0,66,0
1,2,legal_contract_qa,0,1964,1.8068,16,0,0,0,0,0,24,0
1,3,meeting_summ,0,1938,3.1837,16,0,0,0,0,0,70,0
1,4,multidoc_qa,0,1952,2.0941,16,0,0,0,0,0,34,0
1,5,narrative_qa,0,1935,1.5338,16,0,0,0,0,0,16,0
1,6,natural_question,0,1940,1.55,16,0,0,0,0,0,16,0
1,7,paper_assistant,0,1934,4.475,16,0,0,0,0,0,114,0
1,8,quality,0,1988,1.6022,16,0,0,0,0,0,16,0
1,9,review_summ,0,1940,4.3293,16,0,0,0,0,0,108,0
1,10,sci_fi,0,1961,1.5772,16,0,0,0,0,0,16,0
1,11,scientific_qa,0,1934,1.5146,16,0,0,0,0,0,16,0
1,12,topic_retrieval_longchat,0,1945,1.5456,16,0,0,0,0,0,16,0
1,13,tpo,0,1994,1.5864,16,0,0,0,0,0,16,0
1,14,coursera,0,1986,1.5997,16,0,0,0,0,0,16,0
1,15,financial_qa,0,1969,7.3547,16,0,0,0,0,0,79,0
1,16,legal_contract_qa,0,1961,1.8053,16,0,0,0,0,0,24,0
1,17,meeting_summ,0,1939,2.5595,16,0,0,0,0,0,50,0
1,18,multidoc_qa,0,1936,4.5975,16,0,0,0,0,0,29,0
1,19,narrative_qa,0,1939,1.5472,16,0,0,0,0,0,16,0
1,20,natural_question,0,1939,1.5535,16,0,0,0,0,0,16,0
1,21,paper_assistant,0,1934,4.5169,16,0,0,0,0,0,114,0
1,22,quality,0,2032,2.5509,16,0,0,0,0,0,16,0
1,23,review_summ,0,1942,4.3258,16,0,0,0,0,0,106,0
1,24,sci_fi,0,1968,16.3339,16,0,0,0,0,0,16,0
1,25,scientific_qa,0,1933,1.6939,16,0,0,0,0,0,22,0
1,26,topic_retrieval_longchat,0,1945,2.5314,32,16,1,5242880,0,0,16,0
1,27,tpo,0,1980,2.4894,16,0,0,0,0,0,16,0
1,28,coursera,0,1980,2.691,16,0,0,0,0,0,16,0
1,29,financial_qa,0,1974,2.5559,16,0,0,0,0,0,48,0
1,30,legal_contract_qa,0,1961,2.059,16,0,0,0,0,0,16,0
1,31,meeting_summ,0,1933,2.6565,16,0,0,0,0,0,54,0
1,32,multidoc_qa,0,1938,13.3975,16,0,0,0,0,0,16,0
1,33,narrative_qa,0,1942,1.6577,16,0,0,0,0,0,16,0
1,34,natural_question,0,1940,1.5397,16,0,0,0,0,0,16,0
1,35,paper_assistant,0,1934,4.4749,16,0,0,0,0,0,114,0
1,36,quality,0,2001,2.9214,16,0,0,0,0,0,16,0
