rid,round,doc,subtask,q,prompt_tokens,submit_rel_s,ttft_s,e2e_s,out_tokens,cached,backlog
r0,1,0,coursera,0,1971,0.008,4.3563,5.4884,16,0,4
r2,1,2,legal_contract_qa,0,1964,0.009,4.3553,9.3445,24,16,4
r5,1,5,narrative_qa,0,1935,9.355,3.9055,5.0623,16,16,4
r4,1,4,multidoc_qa,0,1952,5.498,3.3931,12.5799,34,16,4
r6,1,6,natural_question,0,1940,14.42,3.0377,7.5707,16,16,4
r1,1,1,financial_qa,0,1963,0.008,4.3558,26.5413,66,16,4
r3,1,3,meeting_summ,0,1938,0.009,4.3548,30.6468,70,16,4
r8,1,8,quality,0,1988,21.992,4.0884,12.3697,16,16,4
r10,1,10,sci_fi,0,1961,30.658,3.4744,8.4171,16,16,4
r11,1,11,scientific_qa,0,1934,34.364,3.9467,7.7429,16,16,4
r12,1,12,topic_retrieval_longchat,0,1945,39.077,2.8027,7.2062,16,16,4
r13,1,13,tpo,0,1994,42.109,3.4009,7.0593,16,16,4
r14,1,14,coursera,0,1986,46.285,2.6504,7.2829,16,16,4
r16,1,16,legal_contract_qa,0,1961,53.57,3.5759,5.3801,24,16,4
r7,1,7,paper_assistant,0,1934,18.08,3.524,45.0976,114,16,4
r9,1,9,review_summ,0,1940,26.552,3.9513,39.7234,108,16,4
r15,1,15,financial_qa,0,1969,49.17,3.6177,21.7745,79,16,4
r19,1,19,narrative_qa,0,1939,66.277,3.7341,8.0539,16,16,4
r18,1,18,multidoc_qa,0,1936,63.18,2.5482,12.7299,29,16,4
r17,1,17,meeting_summ,0,1939,58.952,2.8053,19.0097,50,16,3
r20,1,20,natural_question,0,1939,70.947,3.3094,12.2226,16,16,4
r22,1,22,quality,0,2032,75.912,5.6324,11.1467,16,16,4
r24,1,24,sci_fi,0,1968,83.171,3.4992,8.043,16,16,4
r25,1,25,scientific_qa,0,1933,87.06,3.5422,8.4066,22,16,4
r26,1,26,topic_retrieval_longchat,0,1945,91.216,3.4072,8.554,16,16,4
r27,1,27,tpo,0,1980,95.469,4.1484,9.4034,16,16,4
r28,1,28,coursera,0,1980,99.772,4.243,9.4849,16,16,4
r30,1,30,legal_contract_qa,0,1961,109.259,3.4389,4.6125,16,16,4
r29,1,29,financial_qa,0,1974,104.874,4.2285,14.167,48,16,4
r23,1,23,review_summ,0,1942,77.963,4.6643,43.0247,106,16,4
r21,1,21,paper_assistant,0,1934,74.332,1.4265,50.3242,114,16,4
r32,1,32,multidoc_qa,0,1938,119.043,1.9442,10.5348,16,16,4
r33,1,33,narrative_qa,0,1942,120.99,3.5903,12.9481,16,16,4
r34,1,34,natural_question,0,1940,124.658,4.1581,13.4984,16,16,4
r31,1,31,meeting_summ,0,1933,113.874,3.1195,28.6056,54,16,4
r36,1,36,quality,0,2001,133.94,4.1413,13.3265,16,16,4
r38,1,38,sci_fi,0,1954,142.481,4.2472,9.8145,16,16,4
r40,1,40,topic_retrieval_longchat,0,1945,152.298,4.4317,5.581,16,16,4
r39,1,39,scientific_qa,0,1931,147.267,4.5716,15.5494,35,16,4
r41,1,41,tpo,0,1980,157.88,4.2389,9.293,16,16,4
r42,1,42,coursera,0,1964,162.819,4.0436,9.3693,16,16,4
r43,1,43,financial_qa,0,1970,167.175,4.3109,10.8907,38,16,4
r37,1,37,review_summ,0,1943,138.158,4.0904,44.4395,105,16,4
r35,1,35,paper_assistant,0,1934,129.579,4.3584,57.3013,114,16,4
r46,1,46,multidoc_qa,0,1935,182.599,4.1273,9.561,16,16,4
r47,1,47,narrative_qa,0,1932,186.883,4.4308,9.8122,16,16,4
r44,1,44,legal_contract_qa,0,1964,172.19,3.8302,28.8095,63,16,4
r48,1,48,natural_question,0,1941,192.162,4.3798,13.6355,16,16,4
r50,1,50,quality,0,2032,201.002,4.2518,9.7017,16,16,4
r52,1,52,sci_fi,0,1956,210.705,4.2445,5.4009,16,16,4
r45,1,45,meeting_summ,0,1942,178.068,3.821,42.2397,71,16,4
r53,1,53,scientific_qa,0,1935,216.109,4.1991,9.2231,16,16,4
r54,1,54,topic_retrieval_longchat,0,1945,220.31,4.023,9.5554,16,16,4
r55,1,55,tpo,0,2009,225.334,4.5315,9.9567,16,16,4
r56,1,56,coursera,0,2011,229.867,4.403,9.501,16,16,4
r58,1,58,legal_contract_qa,0,1961,239.37,4.1183,5.6085,20,16,4
r49,1,49,paper_assistant,0,1934,196.697,4.1499,54.0837,114,16,4
r51,1,51,review_summ,0,1942,205.799,4.438,47.6495,106,16,4
r61,1,61,narrative_qa,0,1937,253.451,3.6148,4.7775,16,16,4
r60,1,60,multidoc_qa,0,1935,250.783,2.434,12.4911,30,16,4
r57,1,57,financial_qa,0,1971,235.292,4.076,32.6368,77,16,4
r62,1,62,natural_question,0,1934,258.23,4.4982,13.3563,16,16,3
r64,2,14,coursera,1,1984,267.931,7.6139,8.6877,16,1920,3
r65,2,8,quality,1,1952,271.587,4.565,5.6542,16,1920,3
r59,1,59,meeting_summ,0,1942,244.981,4.3793,32.6371,92,16,3
r67,2,48,natural_question,1,1941,277.244,3.9977,5.1062,16,1920,2
r68,2,18,multidoc_qa,1,1952,277.619,4.0398,6.3584,33,1920,2
r66,2,3,meeting_summ,1,1937,276.621,0.5451,7.7083,55,1920,2
r69,2,26,topic_retrieval_longchat,1,1945,282.352,0.8517,1.9774,16,1920,2
r71,2,63,paper_assistant,1,2032,284.33,0.2406,1.4924,16,1920,4
r70,2,41,tpo,1,1987,283.978,0.7255,1.9182,16,1920,4
r72,2,56,coursera,1,2007,284.33,0.7819,1.8485,16,1920,4
r63,1,63,paper_assistant,0,1934,263.276,4.4995,22.9995,114,16,4
r74,2,0,coursera,1,1974,285.899,4.5224,5.5603,16,1920,4
r76,2,55,tpo,1,1989,286.276,4.9506,5.9285,16,1920,4
r73,2,17,meeting_summ,1,1934,285.824,4.2808,6.7609,39,1920,2
r78,2,11,scientific_qa,2,1944,292.206,1.2203,2.2647,16,1920,1
r75,2,16,legal_contract_qa,1,1981,286.18,4.5845,9.3575,67,1920,2
r80,2,27,tpo,1,1990,294.473,0.9089,1.919,16,1920,2
r77,2,51,review_summ,1,1948,291.461,1.0431,6.4564,78,1920,1
r79,2,31,meeting_summ,1,1932,292.587,1.1876,7.2201,83,1920,2
r83,2,13,tpo,1,2008,297.919,0.7134,1.888,16,1920,2
r81,2,59,meeting_summ,1,1942,295.539,0.8527,4.9867,58,1920,2
r84,2,50,quality,1,2032,299.809,1.0474,2.0214,16,1920,3
r85,2,7,paper_assistant,1,2032,299.811,1.634,2.7961,16,1920,4
r82,2,9,review_summ,1,1945,296.394,0.6696,6.5929,82,1920,4
r87,2,21,paper_assistant,1,2032,301.833,0.6181,1.6906,16,1920,3
r88,2,61,narrative_qa,1,1938,302.609,0.5991,1.5188,16,1920,3
r89,2,20,natural_question,1,1934,302.989,0.6549,1.6952,16,1920,2
r91,2,25,scientific_qa,1,1935,304.129,0.6688,1.8644,16,1920,1
r86,2,58,legal_contract_qa,1,1976,300.527,1.3038,5.5927,60,1920,1
r93,2,32,multidoc_qa,1,1942,305.995,0.6373,1.8976,17,1920,0
r94,2,38,sci_fi,1,1964,306.12,1.0009,2.151,16,1920,0
r90,2,15,financial_qa,1,1983,303.525,0.8483,5.1969,65,1920,0
r92,2,43,financial_qa,1,1964,304.686,0.6845,4.5236,59,1920,0
r95,2,24,sci_fi,1,1969,307.895,0.8271,1.6176,16,1920,0
r96,2,40,topic_retrieval_longchat,1,1945,308.272,1.0093,1.6495,16,1920,0
r99,2,6,natural_question,1,1936,309.513,1.222,2.3312,16,1920,0
r100,2,33,narrative_qa,1,1941,309.923,1.2282,2.2974,16,1920,0
r97,2,2,legal_contract_qa,1,1976,308.724,1.1432,3.6092,45,1920,0
r101,2,10,sci_fi,1,1966,311.846,0.5596,1.5652,16,1920,0
r98,2,4,multidoc_qa,1,1953,309.21,1.132,4.263,49,1920,0
r103,2,46,multidoc_qa,1,1940,312.334,1.0026,2.2088,22,1920,0
r104,2,12,topic_retrieval_longchat,1,1945,313.413,0.7959,1.807,16,1920,0
r105,2,54,topic_retrieval_longchat,1,1945,313.474,0.841,1.8035,16,1920,0
r106,2,19,narrative_qa,1,1939,314.544,0.7876,1.728,16,1920,1
r108,2,49,paper_assistant,1,2032,315.278,0.7626,1.7507,16,1920,1
r102,2,37,review_summ,1,1945,312.222,0.6004,5.1044,72,1920,1
r111,2,42,coursera,1,1997,317.327,0.775,1.9451,16,1920,2
r107,2,45,meeting_summ,1,1934,315.222,0.641,5.4225,67,1920,3
r109,2,29,financial_qa,1,1963,316.274,0.866,4.8097,57,1920,3
r112,2,28,coursera,1,2002,319.274,0.9018,2.0785,16,1920,2
r110,2,30,legal_contract_qa,1,1976,317.031,0.7343,4.8307,58,1920,2
