round,doc,subtask,q,prompt_tokens,ttft_s,cached,matched,ssd_read_ios,ssd_read_b,write_ios,write_b
1,0,coursera,0,1971,1.1084,0,0,0,0,0,0
1,1,financial_qa,0,1963,1.1257,16,0,0,0,0,0
1,2,legal_contract_qa,0,1964,1.124,16,0,0,0,0,0
1,3,meeting_summ,0,1938,1.1083,16,0,0,0,0,0
1,4,multidoc_qa,0,1952,1.0824,16,0,0,0,0,0
1,5,narrative_qa,0,1935,1.0911,16,0,0,0,0,0
1,6,natural_question,0,1940,1.0803,16,0,0,0,0,0
1,7,paper_assistant,0,1934,1.0793,16,0,0,0,0,0
2,1,financial_qa,1,1966,0.0716,1936,0,0,0,0,0
2,3,meeting_summ,1,1937,0.065,1920,0,0,0,0,0
2,6,natural_question,1,1936,0.1197,1920,0,0,0,0,0
2,0,coursera,1,1974,0.0998,1920,0,0,0,0,0
2,2,legal_contract_qa,1,1976,0.0778,1936,0,0,0,0,0
2,5,narrative_qa,1,1937,0.064,1920,0,0,0,0,0
2,7,paper_assistant,1,2032,0.145,1920,0,0,0,0,0
2,4,multidoc_qa,1,1953,0.078,1920,0,0,0,0,0
