round,doc,subtask,q,prompt_tokens,ttft_s,cached,matched,ssd_read_ios,ssd_read_b,write_ios,write_b,out_tokens,backlog
1,0,coursera,0,1971,1.61,0,0,0,0,0,0,16,1
1,1,financial_qa,0,1963,5.5611,16,0,0,0,30,629145600,66,1
1,2,legal_contract_qa,0,1964,3.7105,16,0,0,0,30,629145600,24,1
1,3,meeting_summ,0,1938,5.5761,16,0,0,0,30,629145600,70,1
1,4,multidoc_qa,0,1952,3.6006,16,0,0,0,30,629145600,34,1
1,5,narrative_qa,0,1935,3.4976,16,0,0,0,30,629145600,16,1
1,6,natural_question,0,1940,4.2483,16,0,0,0,30,629145600,16,1
1,7,paper_assistant,0,1934,7.5068,16,0,0,0,30,629145600,114,1
1,8,quality,0,1988,2.4449,16,0,0,0,30,629145600,16,1
1,9,review_summ,0,1940,7.0224,16,0,0,0,31,650117120,108,1
1,10,sci_fi,0,1961,1.8187,16,0,0,0,30,629145600,16,1
1,11,scientific_qa,0,1934,4.297,16,0,0,0,30,629145600,16,1
1,12,topic_retrieval_longchat,0,1945,4.4547,16,0,0,0,30,629145600,16,1
1,13,tpo,0,1994,4.6034,16,0,0,0,30,629145600,16,1
1,14,coursera,0,1986,4.6849,16,0,0,0,31,650117120,16,1
1,15,financial_qa,0,1969,6.1801,16,0,0,0,31,650117120,79,1
1,16,legal_contract_qa,0,1961,2.6431,16,0,0,0,30,629145600,24,1
1,17,meeting_summ,0,1939,4.9319,16,0,0,0,30,629145600,50,1
1,18,multidoc_qa,0,1936,4.2433,16,0,0,0,30,629145600,29,1
1,19,narrative_qa,0,1939,4.5782,16,0,0,0,30,629145600,16,1
1,20,natural_question,0,1939,4.1899,16,0,0,0,30,629145600,16,1
1,21,paper_assistant,0,1934,7.4653,16,0,0,0,30,629145600,114,1
1,22,quality,0,2032,1.8923,16,0,0,0,30,629145600,16,1
1,23,review_summ,0,1942,6.1304,16,0,0,0,31,650117120,106,1
1,24,sci_fi,0,1968,4.1342,16,0,0,0,30,629145600,16,1
1,25,scientific_qa,0,1933,4.2259,16,0,0,0,30,629145600,22,1
1,26,topic_retrieval_longchat,0,1945,4.4366,16,0,0,0,30,629145600,16,1
1,27,tpo,0,1980,4.2011,16,0,0,0,30,629145600,16,1
1,28,coursera,0,1980,4.3739,16,0,0,0,30,629145600,16,1
1,29,financial_qa,0,1974,5.6557,16,0,0,0,30,629145600,48,1
1,30,legal_contract_qa,0,1961,3.2377,16,0,0,0,30,629145600,16,1
1,31,meeting_summ,0,1933,4.8785,16,0,0,0,30,629145600,54,1
1,32,multidoc_qa,0,1938,3.4062,16,0,0,0,30,629145600,16,1
1,33,narrative_qa,0,1942,3.8695,16,0,0,0,30,629145600,16,1
1,34,natural_question,0,1940,4.652,16,0,0,0,30,629145600,16,1
1,35,paper_assistant,0,1934,7.9401,16,0,0,0,30,629145600,114,1
1,36,quality,0,2001,3.7978,16,0,0,0,30,629145600,16,1
1,37,review_summ,0,1943,6.444,16,0,0,0,31,650117120,105,1
1,38,sci_fi,0,1954,5.1115,16,0,0,0,30,629145600,16,1
1,39,scientific_qa,0,1931,4.5917,16,0,0,0,30,629145600,35,1
1,40,topic_retrieval_longchat,0,1945,4.1854,16,0,0,0,30,629145600,16,1
1,41,tpo,0,1980,5.0318,16,0,0,0,30,629145600,16,1
1,42,coursera,0,1964,5.2938,16,0,0,0,30,629145600,16,1
1,43,financial_qa,0,1970,5.2711,16,0,0,0,30,629145600,38,1
1,44,legal_contract_qa,0,1964,6.8434,16,0,0,0,30,629145600,63,1
1,45,meeting_summ,0,1942,5.1463,16,0,0,0,30,629145600,71,1
1,46,multidoc_qa,0,1935,2.4562,16,0,0,0,30,629145600,16,1
1,47,narrative_qa,0,1932,4.5613,16,0,0,0,30,629145600,16,1
1,48,natural_question,0,1941,5.1868,16,0,0,0,30,629145600,16,1
1,49,paper_assistant,0,1934,8.0765,16,0,0,0,30,629145600,114,1
1,50,quality,0,2032,4.5751,16,0,0,0,30,629145600,16,1
1,51,review_summ,0,1942,7.5635,16,0,0,0,31,650117120,106,1
1,52,sci_fi,0,1956,2.6286,16,0,0,0,30,629145600,16,1
1,53,scientific_qa,0,1935,4.0372,16,0,0,0,30,629145600,16,1
1,54,topic_retrieval_longchat,0,1945,4.3029,16,0,0,0,30,629145600,16,1
1,55,tpo,0,2009,3.914,16,0,0,0,30,629145600,16,1
1,56,coursera,0,2011,4.9184,16,0,0,0,31,650117120,16,1
1,57,financial_qa,0,1971,7.0124,16,0,0,0,31,650117120,77,1
1,58,legal_contract_qa,0,1961,5.2578,16,0,0,0,30,629145600,20,1
1,59,meeting_summ,0,1942,5.9655,16,0,0,0,30,629145600,92,1
1,60,multidoc_qa,0,1935,4.5756,16,0,0,0,30,629145600,30,1
1,61,narrative_qa,0,1937,3.8044,16,0,0,0,30,629145600,16,1
1,62,natural_question,0,1934,5.0486,16,0,0,0,30,629145600,16,1
1,63,paper_assistant,0,1934,8.0651,16,0,0,0,30,629145600,114,1
2,14,coursera,1,1984,3.0291,1920,1904,30,623902720,30,629145600,16,1
2,8,quality,1,1952,1.1778,1920,1904,30,623902720,0,0,16,1
2,3,meeting_summ,1,1937,2.3203,1920,1904,30,623902720,0,0,55,1
2,48,natural_question,1,1941,1.128,1920,1904,30,623902720,0,0,16,1
2,18,multidoc_qa,1,1952,1.6774,1920,1904,30,623902720,0,0,33,1
2,26,topic_retrieval_longchat,1,1945,1.1061,1920,1904,30,623902720,0,0,16,1
2,41,tpo,1,1987,1.2814,1920,1904,30,623902720,0,0,16,2
2,63,paper_assistant,1,2032,0.6052,1920,0,0,0,0,0,16,3
2,56,coursera,1,2007,1.2862,1920,1904,30,623902720,1,20971520,16,3
2,17,meeting_summ,1,1934,1.4568,1920,1904,30,623902720,0,0,39,3
2,0,coursera,1,1974,0.8118,1920,1904,30,623902720,0,0,16,3
2,16,legal_contract_qa,1,1981,2.3956,1920,1904,30,623902720,0,0,67,3
2,55,tpo,1,1989,0.8405,1920,1904,30,623902720,0,0,16,4
2,51,review_summ,1,1948,2.6927,1920,1904,30,623902720,0,0,78,4
2,11,scientific_qa,2,1944,0.9021,1920,1904,30,623902720,1,20971520,16,3
2,31,meeting_summ,1,1932,2.9602,1920,1904,30,623902720,1,20971520,83,2
2,27,tpo,1,1990,0.9929,1920,1904,30,623902720,1,20971520,16,2
2,59,meeting_summ,1,1942,2.0217,1920,1904,30,623902720,0,0,58,2
2,9,review_summ,1,1945,3.1721,1920,1904,30,623902720,0,0,82,2
2,13,tpo,1,2008,1.2564,1920,1904,30,623902720,0,0,16,3
2,50,quality,1,2032,1.5323,1920,1904,30,623902720,1,20971520,16,3
2,7,paper_assistant,1,2032,1.2782,1920,1904,30,623902720,0,0,16,4
2,58,legal_contract_qa,1,1976,2.5559,1920,1904,30,623902720,0,0,60,4
2,21,paper_assistant,1,2032,1.234,1920,1904,30,623902720,0,0,16,5
2,61,narrative_qa,1,1938,1.2681,1920,1904,30,623902720,1,20971520,16,4
2,20,natural_question,1,1934,1.0872,1920,1904,30,623902720,0,0,16,4
2,15,financial_qa,1,1983,2.732,1920,1904,30,623902720,0,0,65,4
2,25,scientific_qa,1,1935,0.8215,1920,1904,30,623902720,1,20971520,16,3
2,43,financial_qa,1,1964,2.1567,1920,1904,30,623902720,1,20971520,59,2
2,32,multidoc_qa,1,1942,0.9374,1920,1904,30,623902720,1,20971520,17,1
2,38,sci_fi,1,1964,0.7945,1920,1904,30,623902720,0,0,16,1
2,24,sci_fi,1,1969,0.7795,1920,1904,30,623902720,0,0,16,1
