k,doc,category,occ,ttft_s,matched,ssd_read_ios,write_ios,cached
0,37,one_shot,0,1.135,0,0,2,0
1,63,repeated,0,1.0546,0,0,4,16
2,45,one_shot,0,1.0778,0,0,0,16
3,55,repeated,0,1.1353,0,0,6,16
4,31,repeated,0,1.055,0,0,0,16
5,0,far_reuse,0,1.1072,0,0,6,16
6,39,far_reuse,0,1.0546,0,0,0,16
7,29,one_shot,0,1.1076,0,0,6,16
8,4,near_reuse,0,1.078,0,0,0,16
9,43,repeated,0,1.1086,0,0,6,16
10,42,one_shot,0,1.0915,0,0,0,16
11,30,repeated,0,1.0907,0,0,6,16
12,52,far_reuse,0,1.0922,0,0,0,16
13,55,repeated,1,1.0752,0,0,6,272
14,62,far_reuse,0,1.0547,0,0,0,16
15,15,near_reuse,0,1.1084,0,0,6,16
16,33,far_reuse,0,1.0779,0,0,0,16
17,4,near_reuse,1,0.0795,0,0,2,1920
18,48,near_reuse,0,1.0784,0,0,4,16
19,22,repeated,0,1.1522,0,0,1,16
20,21,one_shot,0,1.0563,0,0,5,16
21,60,one_shot,0,1.0566,0,0,1,16
22,6,one_shot,0,1.0791,0,0,5,16
23,19,near_reuse,0,1.0844,0,0,1,16
24,15,near_reuse,1,0.0795,0,0,2,1936
25,3,one_shot,0,1.0809,0,0,4,16
26,63,repeated,1,1.1564,0,0,0,16
27,8,near_reuse,0,1.1306,0,0,6,16
28,31,repeated,1,2.0992,368,6,0,384
29,48,near_reuse,1,1.0854,0,0,6,16
30,34,repeated,0,1.0857,0,0,0,16
31,24,far_reuse,0,1.1001,0,0,6,16
32,35,far_reuse,0,1.062,0,0,0,16
33,14,near_reuse,0,1.1303,0,0,6,16
34,9,repeated,0,1.0849,0,0,0,16
35,43,repeated,1,1.0985,0,0,6,16
36,22,repeated,1,2.2491,304,5,0,320
37,30,repeated,1,1.1126,0,0,6,16
38,19,near_reuse,1,2.0451,304,5,0,320
39,2,near_reuse,0,1.0987,0,0,6,16
40,26,near_reuse,0,1.0846,0,0,0,16
41,8,near_reuse,1,1.0887,0,0,6,16
42,5,repeated,0,1.0607,0,0,0,16
43,25,repeated,0,1.0631,0,0,6,16
44,53,far_reuse,0,1.0613,0,0,0,16
45,27,one_shot,0,1.1153,0,0,6,16
46,14,near_reuse,1,1.1154,0,0,0,16
47,58,repeated,0,1.0997,0,0,6,16
48,31,repeated,2,2.1413,752,12,2,768
49,23,repeated,0,1.0852,0,0,6,16
50,2,near_reuse,1,1.1129,0,0,0,16
51,38,far_reuse,0,1.1013,0,0,6,16
52,26,near_reuse,1,1.3931,368,6,0,384
53,20,repeated,0,1.084,0,0,6,16
54,28,far_reuse,0,1.1134,0,0,0,16
55,41,repeated,0,1.1151,0,0,6,16
56,11,one_shot,0,1.0651,0,0,2,16
57,16,one_shot,0,1.1004,0,0,4,16
58,34,repeated,1,3.4769,368,6,2,384
59,30,repeated,2,1.1144,0,0,6,16
60,10,near_reuse,0,1.1011,0,0,0,16
61,59,near_reuse,0,1.0859,0,0,6,16
62,0,far_reuse,1,1.114,0,0,0,16
63,13,far_reuse,0,1.1292,0,0,6,16
64,39,far_reuse,1,3.6286,368,6,0,384
65,50,one_shot,0,1.1581,0,0,6,16
66,20,repeated,1,1.0621,0,0,0,16
67,49,far_reuse,0,1.0628,0,0,6,16
68,54,near_reuse,0,1.083,0,0,0,16
69,46,near_reuse,0,1.0641,0,0,6,16
70,5,repeated,1,3.9609,368,6,0,384
71,40,near_reuse,0,1.0763,0,0,6,32
72,25,repeated,1,1.0618,0,0,0,16
73,10,near_reuse,1,2.8596,368,6,6,384
74,17,repeated,0,1.0837,0,0,2,16
75,52,far_reuse,1,5.4905,368,6,4,384
76,59,near_reuse,1,1.0863,0,0,4,16
77,18,far_reuse,0,1.0636,0,0,2,16
78,62,far_reuse,1,4.2606,368,6,4,384
79,7,far_reuse,0,1.0621,0,0,4,16
80,41,repeated,1,2.735,112,2,2,128
81,51,near_reuse,0,1.0865,0,0,6,16
82,34,repeated,2,1.2982,752,12,0,768
83,22,repeated,2,2.8215,688,11,6,704
84,33,far_reuse,1,2.0773,368,6,3,384
85,36,near_reuse,0,1.1428,0,0,5,16
86,9,repeated,1,2.8535,368,6,1,384
87,54,near_reuse,1,3.3692,368,6,6,384
88,12,one_shot,0,1.0762,0,0,2,32
89,46,near_reuse,1,1.0846,0,0,4,16
90,56,one_shot,0,1.1419,0,0,2,16
91,40,near_reuse,1,1.0773,0,0,4,32
92,57,one_shot,0,1.1147,0,0,2,16
93,9,repeated,2,0.0692,0,0,2,1920
94,1,far_reuse,0,1.0986,0,0,4,16
95,58,repeated,1,1.1967,112,2,0,128
96,44,repeated,0,1.0986,0,0,6,16
97,32,far_reuse,0,1.0844,0,0,0,16
98,51,near_reuse,1,1.0863,0,0,6,16
99,47,near_reuse,0,1.0619,0,0,0,16
100,23,repeated,1,1.0851,0,0,6,16
101,63,repeated,2,2.5493,368,6,0,384
102,36,near_reuse,1,1.1263,0,0,6,16
103,61,one_shot,0,1.0846,0,0,0,16
104,32,far_reuse,1,0.0685,0,0,2,1920
105,24,far_reuse,1,1.1115,0,0,4,16
106,44,repeated,2,0.079,0,0,0,1936
107,35,far_reuse,1,1.5211,368,6,6,384
108,1,far_reuse,1,1.0952,0,0,2,16
109,25,repeated,2,4.8621,368,6,4,384
110,5,repeated,2,2.892,752,12,5,768
111,55,repeated,2,1.1292,0,0,4,16
112,7,far_reuse,1,4.0785,112,2,2,128
113,47,near_reuse,1,3.0158,368,6,6,384
114,58,repeated,2,1.9651,496,8,2,512
115,43,repeated,2,1.0973,0,0,6,16
116,18,far_reuse,1,1.3435,240,4,0,256
117,17,repeated,2,2.4888,240,4,6,256
118,17,repeated,1,0.1102,0,0,2,1920
119,53,far_reuse,1,3.0505,368,6,0,384
