Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
27397900,73885625408,73858227508,73763346613,94880895,:phase:reverse_retrieve,3308395,3308395,0,58,21,,:21,:phase:reverse_retrieve
60461769,1598144847,1537683078,5314205,1532368873,:step:reverse_retrieve #0 running=24,3308395,3308395,1,176,46,21,:21:46,--:step:reverse_retrieve #0 running=24
68375633,68413704,38071,0,38071,:weight_h2d L1 10MiB,3308395,3308395,2,0,49,46,:21:46:49,----:weight_h2d L1 10MiB
68425746,68443322,17576,0,17576,:weight_h2d L1 0MiB,3308395,3308395,2,0,50,46,:21:46:50,----:weight_h2d L1 0MiB
68453536,68469753,16217,0,16217,:weight_h2d L1 8MiB,3308395,3308395,2,0,51,46,:21:46:51,----:weight_h2d L1 8MiB
68481069,68496902,15833,0,15833,:weight_h2d L1 86MiB,3308395,3308395,2,0,52,46,:21:46:52,----:weight_h2d L1 86MiB
68513634,68533185,19551,0,19551,:weight_h2d L1 43MiB,3308395,3308395,2,0,53,46,:21:46:53,----:weight_h2d L1 43MiB
68543304,68564058,20754,0,20754,:weight_h2d L1 0MiB,3308395,3308395,2,0,54,46,:21:46:54,----:weight_h2d L1 0MiB
68573295,68589511,16216,0,16216,:weight_h2d L1 0MiB,3308395,3308395,2,0,55,46,:21:46:55,----:weight_h2d L1 0MiB
69767475,69794893,27418,0,27418,:weight_h2d L2 10MiB,3308395,3308395,2,0,58,46,:21:46:58,----:weight_h2d L2 10MiB
69805425,69820379,14954,0,14954,:weight_h2d L2 0MiB,3308395,3308395,2,0,59,46,:21:46:59,----:weight_h2d L2 0MiB
69832545,69844946,12401,0,12401,:weight_h2d L2 8MiB,3308395,3308395,2,0,60,46,:21:46:60,----:weight_h2d L2 8MiB
69856752,69873015,16263,0,16263,:weight_h2d L2 86MiB,3308395,3308395,2,0,61,46,:21:46:61,----:weight_h2d L2 86MiB
69881530,69894472,12942,0,12942,:weight_h2d L2 43MiB,3308395,3308395,2,0,62,46,:21:46:62,----:weight_h2d L2 43MiB
69902309,69913781,11472,0,11472,:weight_h2d L2 0MiB,3308395,3308395,2,0,63,46,:21:46:63,----:weight_h2d L2 0MiB
69921174,69932560,11386,0,11386,:weight_h2d L2 0MiB,3308395,3308395,2,0,64,46,:21:46:64,----:weight_h2d L2 0MiB
70942450,70969565,27115,0,27115,:weight_h2d L3 10MiB,3308395,3308395,2,0,67,46,:21:46:67,----:weight_h2d L3 10MiB
70978992,70992744,13752,0,13752,:weight_h2d L3 0MiB,3308395,3308395,2,0,68,46,:21:46:68,----:weight_h2d L3 0MiB
71001053,71013195,12142,0,12142,:weight_h2d L3 8MiB,3308395,3308395,2,0,69,46,:21:46:69,----:weight_h2d L3 8MiB
71020611,71032174,11563,0,11563,:weight_h2d L3 86MiB,3308395,3308395,2,0,70,46,:21:46:70,----:weight_h2d L3 86MiB
71039753,71050618,10865,0,10865,:weight_h2d L3 43MiB,3308395,3308395,2,0,71,46,:21:46:71,----:weight_h2d L3 43MiB
