round,doc,subtask,q,prompt_tokens,ttft_s,cached,matched,ssd_read_ios,ssd_read_b,write_ios,write_b
1,0,coursera,0,1971,1.4461,0,0,0,0,16,335544320
1,1,financial_qa,0,1963,3.2689,16,0,0,0,30,629145600
1,2,legal_contract_qa,0,1964,3.4628,16,0,0,0,30,629145600
1,3,meeting_summ,0,1938,3.4578,16,0,0,0,30,629145600
1,4,multidoc_qa,0,1952,2.608,16,0,0,0,30,629145600
1,5,narrative_qa,0,1935,3.2666,16,0,0,0,30,629145600
1,6,natural_question,0,1940,3.0366,16,0,0,0,30,629145600
1,7,paper_assistant,0,1934,3.5485,16,0,0,0,30,629145600
1,8,quality,0,1988,3.4446,16,0,0,0,30,629145600
1,9,review_summ,0,1940,3.0524,16,0,0,0,31,650117120
1,10,sci_fi,0,1961,2.7411,16,0,0,0,30,629145600
1,11,scientific_qa,0,1934,4.1082,16,0,0,0,30,629145600
1,12,topic_retrieval_longchat,0,1945,4.492,16,0,0,0,30,629145600
1,13,tpo,0,1994,4.392,16,0,0,0,30,629145600
1,14,coursera,0,1986,4.4684,16,0,0,0,31,650117120
1,15,financial_qa,0,1969,4.3914,16,0,0,0,31,650117120
1,16,legal_contract_qa,0,1961,4.1991,16,0,0,0,30,629145600
1,17,meeting_summ,0,1939,4.5527,16,0,0,0,30,629145600
1,18,multidoc_qa,0,1936,3.8184,16,0,0,0,30,629145600
1,19,narrative_qa,0,1939,3.9769,16,0,0,0,30,629145600
1,20,natural_question,0,1939,3.9925,16,0,0,0,30,629145600
1,21,paper_assistant,0,1934,4.1154,16,0,0,0,30,629145600
1,22,quality,0,2032,3.8599,16,0,0,0,30,629145600
1,23,review_summ,0,1942,4.0504,16,0,0,0,31,650117120
1,24,sci_fi,0,1968,4.2736,16,0,0,0,30,629145600
1,25,scientific_qa,0,1933,4.1232,16,0,0,0,30,629145600
1,26,topic_retrieval_longchat,0,1945,4.1213,16,0,0,0,30,629145600
1,27,tpo,0,1980,3.976,16,0,0,0,30,629145600
1,28,coursera,0,1980,3.9983,16,0,0,0,30,629145600
1,29,financial_qa,0,1974,4.1293,16,0,0,0,28,587202560
1,30,legal_contract_qa,0,1961,4.0778,16,0,0,0,32,671088640
1,31,meeting_summ,0,1933,4.0079,16,0,0,0,30,629145600
1,32,multidoc_qa,0,1938,3.7264,16,0,0,0,30,629145600
1,33,narrative_qa,0,1942,4.128,16,0,0,0,30,629145600
1,34,natural_question,0,1940,4.181,16,0,0,0,30,629145600
1,35,paper_assistant,0,1934,4.2227,16,0,0,0,30,629145600
1,36,quality,0,2001,3.9593,16,0,0,0,30,629145600
1,37,review_summ,0,1943,4.0345,16,0,0,0,31,650117120
1,38,sci_fi,0,1954,3.9275,16,0,0,0,30,629145600
1,39,scientific_qa,0,1931,2.7022,16,0,0,0,30,629145600
1,40,topic_retrieval_longchat,0,1945,3.6444,16,0,0,0,30,629145600
1,41,tpo,0,1980,4.3056,16,0,0,0,30,629145600
1,42,coursera,0,1964,4.3171,16,0,0,0,30,629145600
1,43,financial_qa,0,1970,3.9325,16,0,0,0,30,629145600
1,44,legal_contract_qa,0,1964,4.0021,16,0,0,0,30,629145600
1,45,meeting_summ,0,1942,4.1458,16,0,0,0,26,545259520
1,46,multidoc_qa,0,1935,4.0663,16,0,0,0,34,713031680
1,47,narrative_qa,0,1932,4.0537,16,0,0,0,30,629145600
1,48,natural_question,0,1941,4.1324,16,0,0,0,30,629145600
1,49,paper_assistant,0,1934,4.1584,16,0,0,0,30,629145600
1,50,quality,0,2032,3.8897,16,0,0,0,30,629145600
1,51,review_summ,0,1942,4.0394,16,0,0,0,31,650117120
1,52,sci_fi,0,1956,4.073,16,0,0,0,30,629145600
1,53,scientific_qa,0,1935,4.159,16,0,0,0,30,629145600
1,54,topic_retrieval_longchat,0,1945,4.0987,16,0,0,0,30,629145600
1,55,tpo,0,2009,4.285,16,0,0,0,30,629145600
1,56,coursera,0,2011,4.1707,16,0,0,0,31,650117120
1,57,financial_qa,0,1971,4.3907,16,0,0,0,31,650117120
1,58,legal_contract_qa,0,1961,4.2108,16,0,0,0,30,629145600
1,59,meeting_summ,0,1942,4.3681,16,0,0,0,30,629145600
1,60,multidoc_qa,0,1935,4.1993,16,0,0,0,30,629145600
1,61,narrative_qa,0,1937,4.0853,16,0,0,0,30,629145600
1,62,natural_question,0,1934,4.185,16,0,0,0,30,629145600
1,63,paper_assistant,0,1934,3.9187,16,0,0,0,30,629145600
2,14,coursera,1,1984,3.2302,1920,1904,30,623902720,15,314572800
2,8,quality,1,1952,0.9317,1920,1904,30,623902720,0,0
2,3,meeting_summ,1,1937,0.9576,1920,1904,30,623902720,0,0
2,48,natural_question,1,1941,0.9033,1920,1904,30,623902720,0,0
2,18,multidoc_qa,1,1952,1.1,1920,1904,30,623902720,0,0
2,26,topic_retrieval_longchat,1,1945,1.0309,1920,1904,30,623902720,0,0
2,41,tpo,1,1987,1.1985,1920,1904,30,623902720,1,20971520
2,63,paper_assistant,1,2032,0.1504,1920,0,0,0,1,20971520
2,56,coursera,1,2007,0.8239,1920,1904,30,623902720,1,20971520
2,17,meeting_summ,1,1934,0.9786,1920,1904,30,623902720,0,0
2,0,coursera,1,1974,0.8452,1920,1904,30,623902720,0,0
2,16,legal_contract_qa,1,1981,0.7004,1920,1904,30,623902720,0,0
2,55,tpo,1,1989,0.8815,1920,1904,30,623902720,1,20971520
2,51,review_summ,1,1948,0.7041,1920,1904,30,623902720,0,0
2,11,scientific_qa,2,1944,0.7052,1920,1904,30,623902720,0,0
2,31,meeting_summ,1,1932,0.6152,1920,1904,30,623902720,0,0
2,27,tpo,1,1990,0.7017,1920,1904,30,623902720,1,20971520
2,59,meeting_summ,1,1942,0.7442,1920,1904,30,623902720,0,0
2,9,review_summ,1,1945,1.1863,1920,1904,30,623902720,0,0
2,13,tpo,1,2008,1.1214,1920,1904,30,623902720,1,20971520
2,50,quality,1,2032,0.9994,1920,1904,30,623902720,1,20971520
2,7,paper_assistant,1,2032,1.155,1920,1904,30,623902720,1,20971520
2,58,legal_contract_qa,1,1976,1.0647,1920,1904,30,623902720,0,0
2,21,paper_assistant,1,2032,0.8926,1920,1904,30,623902720,1,20971520
2,61,narrative_qa,1,1938,0.9696,1920,1904,30,623902720,0,0
2,20,natural_question,1,1934,1.1652,1920,1904,30,623902720,0,0
2,15,financial_qa,1,1983,1.0125,1920,1904,30,623902720,0,0
2,25,scientific_qa,1,1935,0.7239,1920,1904,30,623902720,0,0
2,43,financial_qa,1,1964,0.7169,1920,1904,30,623902720,0,0
2,32,multidoc_qa,1,1942,0.8138,1920,1904,30,623902720,0,0
2,38,sci_fi,1,1964,0.8253,1920,1904,30,623902720,0,0
2,24,sci_fi,1,1969,0.8438,1920,1904,30,623902720,0,0
2,40,topic_retrieval_longchat,1,1945,0.7102,1920,1904,30,623902720,0,0
2,2,legal_contract_qa,1,1976,0.6955,1920,1904,30,623902720,0,0
2,4,multidoc_qa,1,1953,0.5911,1920,1904,30,623902720,0,0
2,6,natural_question,1,1936,0.5531,1920,1904,30,623902720,0,0
2,33,narrative_qa,1,1941,1.1691,1920,1904,30,623902720,0,0
2,10,sci_fi,1,1966,1.2624,1920,1904,30,623902720,0,0
2,37,review_summ,1,1945,1.0266,1920,1904,30,623902720,0,0
2,46,multidoc_qa,1,1940,1.071,1920,1904,30,623902720,0,0
2,12,topic_retrieval_longchat,1,1945,1.1257,1920,1888,30,618659840,0,0
2,54,topic_retrieval_longchat,1,1945,1.1357,1920,1888,30,618659840,0,0
2,19,narrative_qa,1,1939,0.9549,1920,1904,30,623902720,0,0
2,45,meeting_summ,1,1934,0.9426,1920,1904,30,623902720,0,0
2,49,paper_assistant,1,2032,1.0098,1920,1904,30,623902720,1,20971520
2,29,financial_qa,1,1963,0.8249,1920,1904,30,623902720,0,0
2,30,legal_contract_qa,1,1976,0.8707,1920,1904,30,623902720,0,0
2,42,coursera,1,1997,0.7819,1920,1904,30,623902720,1,20971520
