k,doc,category,occ,ttft_s,matched,ssd_read_ios,write_ios,cached
0,37,one_shot,0,1.081,0,0,0,0
1,63,repeated,0,1.0458,0,0,0,16
2,45,one_shot,0,1.0779,0,0,0,16
3,55,repeated,0,1.1345,0,0,0,16
4,31,repeated,0,1.0517,0,0,0,16
5,0,far_reuse,0,1.1067,0,0,0,16
6,39,far_reuse,0,1.0514,0,0,0,16
7,29,one_shot,0,1.1075,0,0,0,16
8,4,near_reuse,0,1.0803,0,0,0,16
9,43,repeated,0,1.1069,0,0,0,16
10,42,one_shot,0,1.0937,0,0,0,16
11,30,repeated,0,1.0971,0,0,0,16
12,52,far_reuse,0,1.0957,0,0,0,16
13,55,repeated,1,1.0819,0,0,2,272
14,62,far_reuse,0,1.0672,0,0,10,16
15,15,near_reuse,0,1.1093,0,0,2,16
16,33,far_reuse,0,1.0824,0,0,0,16
17,4,near_reuse,1,0.0795,0,0,0,1920
18,48,near_reuse,0,1.0898,0,0,12,16
19,22,repeated,0,1.1531,0,0,2,16
20,21,one_shot,0,1.0574,0,0,0,16
21,60,one_shot,0,1.0566,0,0,0,16
22,6,one_shot,0,1.0832,0,0,0,16
23,19,near_reuse,0,1.0829,0,0,0,16
24,15,near_reuse,1,0.0932,0,0,2,1936
25,3,one_shot,0,1.0842,0,0,11,16
26,63,repeated,1,1.16,0,0,3,16
27,8,near_reuse,0,1.1362,0,0,12,16
28,31,repeated,1,1.0655,0,0,2,16
29,48,near_reuse,1,1.0898,0,0,10,16
30,34,repeated,0,1.084,0,0,2,16
31,24,far_reuse,0,1.0975,0,0,0,16
32,35,far_reuse,0,1.0564,0,0,0,16
33,14,near_reuse,0,1.1309,0,0,0,16
34,9,repeated,0,1.09,0,0,0,16
35,43,repeated,1,1.1046,0,0,0,16
36,22,repeated,1,1.1683,0,0,14,16
37,30,repeated,1,1.1187,0,0,3,16
38,19,near_reuse,1,1.0975,0,0,11,16
39,2,near_reuse,0,1.1058,0,0,3,16
40,26,near_reuse,0,1.0919,0,0,0,16
41,8,near_reuse,1,1.092,0,0,0,16
42,5,repeated,0,1.0704,0,0,11,16
43,25,repeated,0,1.0641,0,0,3,16
44,53,far_reuse,0,1.0643,0,0,0,16
45,27,one_shot,0,1.1183,0,0,0,16
46,14,near_reuse,1,1.1237,0,0,2,16
47,58,repeated,0,1.1147,0,0,12,16
48,31,repeated,2,1.2416,880,14,2,896
49,23,repeated,0,1.0859,0,0,9,16
50,2,near_reuse,1,1.125,0,0,5,16
51,38,far_reuse,0,1.1044,0,0,12,16
52,26,near_reuse,1,1.095,0,0,2,16
53,20,repeated,0,1.0928,0,0,11,16
54,28,far_reuse,0,1.1163,0,0,1,16
55,41,repeated,0,1.1148,0,0,0,16
56,11,one_shot,0,1.0621,0,0,0,16
57,16,one_shot,0,1.1063,0,0,0,16
58,34,repeated,1,1.0908,0,0,0,16
59,30,repeated,2,1.2784,688,11,14,704
60,10,near_reuse,0,1.1005,0,0,11,16
61,59,near_reuse,0,1.0855,0,0,3,16
62,0,far_reuse,1,1.1233,0,0,2,16
63,13,far_reuse,0,1.137,0,0,11,16
64,39,far_reuse,1,1.0701,0,0,3,16
65,50,one_shot,0,1.1654,0,0,12,16
66,20,repeated,1,1.0674,0,0,2,16
67,49,far_reuse,0,1.0697,0,0,12,16
68,54,near_reuse,0,1.0857,0,0,0,16
69,46,near_reuse,0,1.0654,0,0,0,16
70,5,repeated,1,1.1069,0,0,1,16
71,40,near_reuse,0,1.0885,0,0,12,32
72,25,repeated,1,1.0711,0,0,1,16
73,10,near_reuse,1,1.1146,0,0,11,16
74,17,repeated,0,1.0949,0,0,6,16
75,52,far_reuse,1,1.1117,0,0,0,16
76,59,near_reuse,1,1.1041,0,0,14,16
77,18,far_reuse,0,1.0715,0,0,0,16
78,62,far_reuse,1,1.0792,0,0,2,16
79,7,far_reuse,0,1.0788,0,0,10,16
80,41,repeated,1,1.1403,0,0,2,16
81,51,near_reuse,0,1.1008,0,0,10,16
82,34,repeated,2,1.1378,880,14,2,896
83,22,repeated,2,1.3576,176,3,14,192
84,33,far_reuse,1,1.0866,0,0,9,16
85,36,near_reuse,0,1.1507,0,0,3,16
86,9,repeated,1,1.1069,0,0,1,16
87,54,near_reuse,1,1.0978,0,0,13,16
88,12,one_shot,0,1.0814,0,0,0,32
89,46,near_reuse,1,1.0913,0,0,0,16
90,56,one_shot,0,1.1572,0,0,12,16
91,40,near_reuse,1,1.0817,0,0,2,32
92,57,one_shot,0,1.1221,0,0,11,16
93,9,repeated,2,0.0806,0,0,2,1920
94,1,far_reuse,0,1.1022,0,0,9,16
95,58,repeated,1,1.1214,0,0,3,16
96,44,repeated,0,1.1108,0,0,11,16
97,32,far_reuse,0,1.0935,0,0,0,16
98,51,near_reuse,1,1.0994,0,0,2,16
99,47,near_reuse,0,1.077,0,0,9,16
100,23,repeated,1,1.0933,0,0,3,16
101,63,repeated,2,2.173,880,14,12,896
102,36,near_reuse,1,1.129,0,0,9,16
103,61,one_shot,0,1.0923,0,0,3,16
104,32,far_reuse,1,0.0662,0,0,0,1920
105,24,far_reuse,1,1.1302,0,0,14,16
106,44,repeated,2,0.091,0,0,2,1936
107,35,far_reuse,1,1.1711,0,0,12,16
108,1,far_reuse,1,1.1083,0,0,0,16
109,25,repeated,2,2.3851,688,11,14,704
110,5,repeated,2,2.3131,880,14,14,896
111,55,repeated,2,1.2692,880,14,16,896
112,7,far_reuse,1,1.1617,0,0,9,16
113,47,near_reuse,1,1.105,0,0,7,16
114,58,repeated,2,1.6417,688,11,12,704
115,43,repeated,2,1.0912,880,14,14,896
116,18,far_reuse,1,1.0929,0,0,11,16
117,17,repeated,2,1.0767,0,0,5,16
118,17,repeated,1,0.1156,0,0,12,1920
119,53,far_reuse,1,1.0736,0,0,2,16
120,44,repeated,1,2.1043,880,14,14,896
121,23,repeated,2,1.9711,624,10,12,640
122,20,repeated,2,1.3344,880,14,16,896
123,49,far_reuse,1,1.1596,0,0,9,16
124,13,far_reuse,1,1.1576,0,0,5,16
125,38,far_reuse,1,1.1177,0,0,12,16
126,41,repeated,2,1.2578,624,10,1,640
127,28,far_reuse,1,1.1501,0,0,12,16
